"Response","Pressure","Temp","Fabric"
73,"Pressure17.2","8 degrees","420-D"
80,"Pressure17.2","8 degrees","420-D"
35,"Pressure17.2","8 degrees","630-D"
433,"Pressure17.2","8 degrees","630-D"
125,"Pressure17.2","8 degrees","840-D"
111,"Pressure17.2","8 degrees","840-D"
157,"Pressure34.4","8 degrees","420-D"
155,"Pressure34.4","8 degrees","420-D"
91,"Pressure34.4","8 degrees","630-D"
98,"Pressure34.4","8 degrees","630-D"
234,"Pressure34.4","8 degrees","840-D"
233,"Pressure34.4","8 degrees","840-D"
332,"Pressure 103.4","8 degrees","420-D"
322,"Pressure 103.4","8 degrees","420-D"
288,"Pressure 103.4","8 degrees","630-D"
271,"Pressure 103.4","8 degrees","630-D"
477,"Pressure 103.4","8 degrees","840-D"
464,"Pressure 103.4","8 degrees","840-D"
52,"Pressure17.2","50 degrees","420-D"
51,"Pressure17.2","50 degrees","420-D"
16,"Pressure17.2","50 degrees","630-D"
12,"Pressure17.2","50 degrees","630-D"
96,"Pressure17.2","50 degrees","840-D"
100,"Pressure17.2","50 degrees","840-D"
125,"Pressure34.4","50 degrees","420-D"
118,"Pressure34.4","50 degrees","420-D"
72,"Pressure34.4","50 degrees","630-D"
78,"Pressure34.4","50 degrees","630-D"
149,"Pressure34.4","50 degrees","840-D"
155,"Pressure34.4","50 degrees","840-D"
281,"Pressure 103.4","50 degrees","420-D"
264,"Pressure 103.4","50 degrees","420-D"
169,"Pressure 103.4","50 degrees","630-D"
173,"Pressure 103.4","50 degrees","630-D"
338,"Pressure 103.4","50 degrees","840-D"
350,"Pressure 103.4","50 degrees","840-D"
37,"Pressure17.2","75 degrees","420-D"
31,"Pressure17.2","75 degrees","420-D"
30,"Pressure17.2","75 degrees","630-D"
41,"Pressure17.2","75 degrees","630-D"
102,"Pressure17.2","75 degrees","840-D"
98,"Pressure17.2","75 degrees","840-D"
95,"Pressure34.4","75 degrees","420-D"
106,"Pressure34.4","75 degrees","420-D"
91,"Pressure34.4","75 degrees","630-D"
100,"Pressure34.4","75 degrees","630-D"
170,"Pressure34.4","75 degrees","840-D"
160,"Pressure34.4","75 degrees","840-D"
276,"Pressure 103.4","75 degrees","420-D"
281,"Pressure 103.4","75 degrees","420-D"
213,"Pressure 103.4","75 degrees","630-D"
211,"Pressure 103.4","75 degrees","630-D"
307,"Pressure 103.4","75 degrees","840-D"
311,"Pressure 103.4","75 degrees","840-D"
