"y","x1","x2","x`1","x`2"
60,2400,54.5,-1.52428,-.57145
61,2450,56,-1.39535,-.35543
65,2450,58.5,-1.39535,.00461
30.5,2500,43,-1.26642,-2.22763
63.5,2500,58,-1.26642,-.0674
65,2500,59,-1.26642,.07662
44,2700,52.5,-.7507,-.85948
52,2700,65.5,-.7507,1.01272
54.5,2700,68,-.7507,1.37276
30,2750,45,-.62177,-1.9396
26,2775,45.5,-.55731,-1.86759
23,2800,48,-.49284,-1.50755
54,2800,63,-.49284,.65268
36,2900,58.5,-.23499,.00461
53.5,2900,64.5,-.23499,.8687
57,3000,66,.02287,1.08472
33.5,3075,57,.21627,-.21141
34,3100,57.5,.28073,-.13941
44,3150,64,.40966,.79669
33,3200,57,.53859,-.21141
39,3200,64,.53859,.79669
53,3200,69,.53859,1.51677
38.5,3225,68,.60305,1.37276
39.5,3250,62,.66752,.50866
36,3250,64.5,.66752,.8687
8.5,3250,48,.66752,-1.50755
30,3500,60,1.31216,.22063
29,3500,59,1.31216,.07662
26.5,3500,58,1.31216,-.0674
24.5,3600,58,1.57002,-.0674
26.5,3900,61,2.3436,.36465
